name,url,alexa,baidu_s,baidu_pr,baidu_fl,rank,score
百度,www.baidu.com,4,9,9,345762,1,4999
腾讯网,qq.com,8,9,8,858338,2,4950
搜狐,sohu.com,14,9,8,282447,3,4950
新浪网,sina.com.cn,18,9,8,410215,4,4949
爱奇艺,iqiyi.com,319,9,7,29069,5,4947
搜狐视频,tv.sohu.com,14,9,7,28723,6,4946
知乎,zhihu.com,153,9,6,22125,7,4946
人民网,people.com.cn,310,9,9,91931,8,4944
腾讯视频,v.qq.com,8,9,7,15095,9,4943
优酷网,youku.com,1692,9,8,78984,10,4943
4399小游戏,4399.com,1027,9,6,39405,11,4942
豆瓣,douban.com,1446,9,7,48989,31,4735
中关村在线,zol.com.cn,1507,9,8,75464,12,4941
海词词典,dict.cn,2773,9,7,44551,32,4732
搜狗,sogou.com,181,9,8,124176,13,4937
网易,163.com,644,9,8,353878,14,4931
太平洋亲子网,pcbaby.com.cn,2593,9,7,4029,33,4731
凤凰网,ifeng.com,1308,9,8,144501,15,4922
搜房网房天下,fang.com,3096,9,3,5949146,34,4728
Hao123,hao123.com,55,9,8,52921,16,4915
360doc个人图书馆,360doc.com,1471,9,5,1163,35,4727
东方财富网,eastmoney.com,5190,9,7,48592,17,4909
央视网,cntv.cn,5089,9,8,75036,36,4726
汽车之家,autohome.com.cn,13064,9,7,39074,18,4893
站长之家,chinaz.com,831,9,7,40491,37,4707
好搜,so.com,86,9,6,10096,19,4855
有问必答网,120ask.com,14145,9,6,5860,38,4704
淘宝网,taobao.com,10,9,7,670928,20,4768
39健康网,39.net,8985,9,7,29026,39,4700
中国青年网,youth.cn,140,8,8,17845,211,4203
京东商城,jd.com,19,9,7,85801,21,4768
天气网,tianqi.com,10918,9,7,15963,40,4699
美团,meituan.com,1983,8,6,52679,212,4202
新浪微博,weibo.com,20,9,9,526748,22,4768
虎扑体育,hupu.com,6569,9,7,31399,41,4699
千图网,58pic.com,4356,8,4,723,213,4201
58同城 ,58.com,604,9,7,129131,23,4765
豆瓣电影,movie.douban.com,1446,9,6,2248,42,4694
易车网,bitauto.com,390,9,7,77851,24,4764
新东方,xdf.cn,2778,8,7,19252,214,4201
中学语文教学资源网,ruiwen.com,9325,9,5,982,43,4692
起点中文网,qidian.com,3007,9,7,33928,25,4761
163网易免费邮,mail.163.com,644,8,7,29614,215,4198
2345网址导航,2345.com,9021,9,6,32431,44,4684
慧聪网,hc360.com,3808,8,6,78905,216,4198
互动百科,baike.com,641,9,7,24590,26,4760
迅雷看看,xunlei.com,1496,8,7,16061,217,4196
苹果官方网站,apple.com,72,9,9,86572,45,4667
哔哩哔哩弹幕视频网,bilibili.com,255,9,6,2380,27,4759
中国银行官网,www.boc.cn,1718,8,8,44094,218,4195
妈妈网,mama.cn,210,9,6,9585,46,4665
携程旅行网,ctrip.com,4609,9,7,63352,28,4742
爱站网,aizhan.com,4250,8,5,52448,219,4194
古诗文网,gushiwen.org,7323,9,5,117,47,4663
赶集网,ganji.com,4270,9,7,86118,29,4740
金融界,jrj.com.cn,452,7,7,13769,220,4193
新浪博客,blog.sina.com.cn,18,9,7,50529,48,4661
百度视频,v.baidu.com,4,9,8,11697,91,4401
阿里巴巴1688,1688.com,144,9,7,5062021,30,4738
谷歌翻译,translate.google.cn,175,8,7,2580,221,4192
太平洋女性网,pclady.com.cn,13935,9,6,32000,49,4650
东方网,eastday.com,222,8,8,27526,92,4400
二手车之家,che168.com,7346,8,6,2314,222,4192
东方财富网股吧,guba.eastmoney.com,5190,9,6,1013,50,4649
中国网,china.com.cn,197,8,8,116517,93,4400
中彩网,zhcw.com,4287,9,7,17480,51,4627
新浪新闻,news.sina.com.cn,18,8,8,15790,223,4189
有道,youdao.com,329,8,6,19522,94,4398
太平洋电脑网,pconline.com.cn,29253,9,7,67112,52,4624
喜马拉雅FM,ximalaya.com,2675,8,4,1242,224,4188
下厨房,xiachufang.com,3363,9,6,794,53,4618
央视网视频,tv.cntv.cn,5089,9,7,2524,95,4395
爆米花网,baomihua.com,37673,8,6,6283,225,4188
晋江文学城,jjwxc.net,1521,8,6,2772,96,4394
中国天气网,weather.com.cn,13013,9,7,21156,54,4618
买购网,maigoo.com,16362,8,5,1642,226,4187
快递100,kuaidi100.com,4360,9,6,9662,55,4617
支付宝,alipay.com,38,8,7,210512,97,4393
MBA智库百科,wiki.mbalib.com,3946,8,6,282,227,4186
百度翻译,fanyi.baidu.com,4,9,6,1522,98,4387
500彩票网,500.com,8974,9,6,2924,56,4614
美食杰,meishij.net,7807,9,6,967,61,4589
游民星空,gamersky.com,2034,8,6,1455,99,4387
天极网,yesky.com,979,8,7,29563,228,4186
好大夫在线,haodf.com,12125,9,7,4400,57,4612
沪江小D,dict.hjenglish.com,1588,8,6,761,229,4184
太平洋亲子网亲子百科,baike.pcbaby.com.cn,2593,9,5,711,58,4609
Mtime时光网,mtime.com,2597,8,6,2884,100,4387
逗游网,doyo.cn,10280,9,6,1245,62,4586
新东方在线,koolearn.com,5475,8,7,10811,230,4184
作业帮,www.zybang.com,10135,9,0,1,101,4378
中关村在线报价查询频道,detail.zol.com.cn,1507,9,6,1774,59,4600
飞华健康网,fh21.com.cn,17661,9,6,13006,63,4585
果壳网,guokr.com,2607,8,6,1072,231,4184
前程无忧,51job.com,5919,8,8,45190,102,4377
齐家网,jia.com,13227,9,6,8900,60,4592
美食天下,meishichina.com,12140,9,6,3701,64,4584
乐视网,le.com,8140,9,0,0,104,4373
百度音乐,music.baidu.com,4,9,8,16097,103,4373
911查,911cha.com,9675,9,5,665,65,4583
搜狐体育,sports.sohu.com,14,8,8,28247,233,4182
中国工商银行官网,www.icbc.com.cn,4644,8,7,43487,232,4183
第1星座,d1xz.net,11765,9,6,1072,66,4582
蚂蜂窝,mafengwo.cn,4167,7,7,3694,234,4181
天猫,tmall.com,13,8,7,341914,105,4372
一本读,ybdu.com,19322,9,0,146,67,4573
腕表之家,xbiao.com,15303,8,5,2755,235,4181
酷狗音乐,kugou.com,3167,8,7,50095,106,4368
顺丰快递官网,sf-express.com,1970,9,6,3150,68,4558
考试吧,exam8.com,17021,8,7,3429,236,4181
和讯网,hexun.com,1719,8,7,55515,107,4366
电视猫,tvmao.com,6509,9,6,4158,69,4555
看准网,kanzhun.com,5816,8,0,7120,237,4180
新浪财经,finance.sina.com.cn,18,8,7,15283,108,4363
心食谱,xinshipu.com,12140,9,5,214,70,4553
360安全网址导航,hao.360.cn,22,7,7,37055,238,4178
游迅网,yxdown.com,2681,8,7,1250,109,4360
腾讯体育,sports.qq.com,8,9,7,4491,71,4552
糯米网,nuomi.com,4235,8,7,26332,239,4178
7k7k小游戏大全,7k7k.com,5580,8,6,29717,110,4358
360影视,360kan.com,5994,8,1,21415,72,4533
迅雷看看,kankan.com,17219,8,7,12160,240,4178
九酷音乐网,9ku.com,7218,8,6,25441,111,4356
爱词霸,iciba.com,1905,9,7,5752,73,4523
w3school 在线教程,w3school.com.cn,1009,8,5,495,112,4349
无忧无虑中学语文网,5156edu.com,8511,8,5,2362,74,4515
太平洋汽车网,pcauto.com.cn,6753,8,7,32602,113,4349
句子迷,juzimi.com,4855,9,5,160,75,4508
爱卡汽车,xcar.com.cn,29862,8,7,11066,114,4349
2k小说,2kxs.com,21832,9,2,24,76,4493
酷我音乐,kuwo.cn,7695,8,6,27181,115,4346
星座屋,xzw.com,28660,9,3,640,77,4476
中国教育在线,eol.cn,9200,8,8,7168,116,4345
在线新华字典,xh.5156edu.com,8511,8,6,1602,78,4474
新浪体育,sports.sina.com.cn,18,8,7,29607,117,4341
微盘,vdisk.weibo.com,20,9,6,849,79,4469
腾讯新闻,news.qq.com,8,8,7,8572,118,4340
本地宝,bendibao.com,26151,9,4,10780,80,4466
凤凰资讯,news.ifeng.com,1308,8,7,34000,119,4340
百度百科,baike.baidu.com,4,9,8,24605,81,4458
百度知道,zhidao.baidu.com,4,9,8,9876,85,4448
百度贴吧,tieba.baidu.com,4,9,8,29081,82,4455
百度文库,wenku.baidu.com,4,9,8,8205,83,4453
百度图片,image.baidu.com,4,9,8,8162,84,4448
天涯社区,tianya.cn,103,8,7,197926,89,4403
新华网,xinhuanet.com,116,8,9,73507,90,4402
小米网,www.mi.com,361,8,0,828,151,4267
360安全中心,360.cn,22,8,7,937091,88,4403
华律网,66law.cn,6848,8,6,2606,120,4335
百度经验,jingyan.baidu.com,4,9,6,2167,86,4444
百度地图,map.baidu.com,4,9,8,26084,87,4426
178游戏网,178.com,2929,8,7,7508,152,4265
有道词典,dict.youdao.com,329,8,0,370,153,4262
站长素材,sc.chinaz.com,831,8,6,1139,154,4261
电玩巴士,tgbus.com,2285,8,7,13830,155,4260
百姓网,baixing.com,5457,8,6,51694,160,4254
2345天气预报,tianqi.2345.com,9021,9,6,3491,157,4258
yy语音,yy.com,4284,8,6,11212,158,4256
同花顺金融服务网,10jqka.com.cn,5553,8,6,8601,159,4256
动漫之家,dmzj.com,3223,8,5,390,156,4258
途牛旅游网,tuniu.com,6952,8,7,33751,165,4250
中国新闻网,chinanews.com,3795,8,8,14935,166,4249
IP地址查询,ip138.com,3910,8,7,35452,163,4252
18183,18183.com,3656,8,6,1576,164,4250
52PK游戏网,52pk.com,4399,8,7,25969,169,4246
红动中国,redocn.com,9403,8,5,1260,170,4242
无忧考网,51test.net,8291,8,6,1919,171,4242
铁血网,tiexue.net,13572,8,7,34581,172,4241
黄页88网,huangye88.com,15273,8,5,23531,173,4238
MBA智库,mbalib.com,3946,8,5,1560,174,4237
九游手机网游,9game.cn,5315,8,6,1917,175,4236
中国平安保险,pingan.com,10260,8,6,6845,176,4236
CSDN,csdn.net,46,8,7,4422,177,4234
全景图片网,quanjing.com,10561,8,6,385,178,4234
中国铁路客户服务中心,www.12306.cn,8812,8,8,38162,179,4234
纵横中文网,zongheng.com,13881,8,7,25387,180,4232
游久网,uuu9.com,8212,8,7,4764,161,4253
中国建设银行官网,www.ccb.com,3581,8,7,41324,162,4252
网易新闻,news.163.com,644,8,7,34747,167,4247
脚本之家,jb51.net,1553,8,5,2432,168,4246
虎扑体育论坛,bbs.hupu.com,6569,8,5,443,241,4177
顶点小说网,booktxt.net,8396,9,0,0,242,4176
好豆网,haodou.com,19267,8,5,2197,243,4175
飞卢中文网,faloo.com,37689,8,5,1914,244,4175
Wed114结婚网,wed114.cn,7686,8,5,8454,245,4173
中华网,china.com,21650,8,7,46763,246,4170
豆丁文库,docin.com,2702,8,7,4800,247,4169
新浪娱乐,ent.sina.com.cn,18,8,7,2232,248,4166
中国大学网,unjs.com,15795,8,4,399,249,4165
携程机票,flights.ctrip.com,4609,8,7,3737,250,4163
我爱卡,51credit.com,6191,8,6,563,251,4163
西西软件园,cr173.com,6109,8,6,2172,252,4161
2345软件大全,duote.com,15120,8,0,3941,253,4161
八零电子书,80txt.com,25601,8,1,122,254,4160
非凡软件站,crsky.com,5488,8,6,7780,255,4159
金投网,cngold.org,14968,8,6,976,256,4158
简书,jianshu.com,597,8,0,109,257,4151
公安部交通安全综合服务管理平台,122.gov.cn,8416,8,0,510,258,4151
一听音乐网,1ting.com,16660,8,7,29398,259,4151
潇湘书院,xxsy.net,37017,8,7,5543,260,4151
尚之潮网,shangc.net,8113,8,3,406,261,4148
西陆网,xilu.com,15725,8,7,5881,262,4145
天天基金网,fund.eastmoney.com,5190,8,6,3717,263,4144
太平洋汽车网汽车报价,price.pcauto.com.cn,6753,8,6,1206,264,4144
萌娘赛高基金会,moegirl.org,6071,8,3,195,265,4143
美乐乐家具网,meilele.com,25577,8,6,18602,266,4143
 趣历史网,qulishi.com,14099,8,4,112,267,4141
卡车之家,360che.com,24726,8,6,1088,268,4140
驴妈妈旅游网,lvmama.com,16102,8,7,34929,269,4138
QQ音乐,y.qq.com,8,7,6,1941,270,4137
萌娘百科,zh.moegirl.org,6071,8,4,169,271,4137
腾牛网,qqtn.com,8335,8,5,623,272,4137
暴风影音官网,baofeng.com,15850,8,7,5496,273,4134
豆瓣读书,book.douban.com,1446,8,7,520,274,4130
中国十大品牌网,china-10.com,19678,8,3,9610,275,4128
万表网,wbiao.cn,41270,8,5,3506,276,4127
飞华两性频道,sex.fh21.com.cn,17661,8,4,352,277,4125
系统之家官网,xitongzhijia.net,13410,8,3,229,278,4125
汉典,zdic.net,10007,7,7,3713,279,4124
大学生必备网,dxsbb.com,17832,8,4,274,280,4123
极速体育,jisutiyu.com,10737,8,0,137,281,4122
初中作文网,www.99zuowen.com,47428,8,4,407,282,4122
新浪科技,tech.sina.com.cn,18,8,7,9331,283,4121
汉辞网,hydcd.com,30806,8,5,256,284,4121
英雄联盟官方网站,lol.qq.com,8,8,6,1957,285,4120
动漫之家漫画网,manhua.dmzj.com,3223,8,5,55,286,4120
魔方格,mofangge.com,13156,8,4,722,287,4120
诗词名句网,shicimingju.com,22270,8,4,382,288,4120
中华人民共和国最高人民法院,court.gov.cn,16006,7,0,5721,289,4119
微信公众平台,mp.weixin.qq.com,8,8,5,20632,290,4118
融360,rong360.com,23373,8,6,23331,291,4117
中国邮政速递物流,ems.com.cn,4032,8,7,3798,292,4116
PPS网络电视官方网站,pps.tv,8478,8,6,8052,293,4115
励志一生,lz13.cn,18826,8,4,144,181,4231
列表网,liebiao.com,8926,8,6,23855,294,4113
中国电信网上营业厅,www.189.cn,7189,8,7,3296,182,4230
风云小说网,baoliny.com,40839,8,3,87,295,4113
谷歌中国,google.cn,175,8,7,39345,183,4229
乐哈健康网,leha.com,35364,8,3,266,296,4112
56网,56.com,7505,8,7,16046,184,4229
美国神婆,meiguoshenpo.com,24613,8,3,476,297,4110
全球加盟网,jiameng.com,880,8,5,6049,185,4228
365音乐网,yue365.com,20746,8,6,1794,298,4110
中国知网,cnki.net,2657,8,8,8270,186,4227
男人窝,nanrenwo.net,17942,8,4,643,299,4109
虎牙直播,huya.com,12127,8,1,4537,187,4227
短美文网,duanmeiwen.com,18337,8,0,115,300,4109
华为,huawei.com,854,8,8,3090,188,4224
图吧,mapbar.com,11150,8,6,8479,189,4224
CSDN博客,blog.csdn.net,46,8,5,1123,190,4223
NBA官方网站,nba.com,479,8,8,5101,191,4223
4399游戏资讯,news.4399.com,1027,8,6,1008,192,4222
汽车之家汽车报价,car.autohome.com.cn,13064,8,5,876,193,4219
铁血论坛,bbs.tiexue.net,13572,8,6,796,194,4218
腾讯娱乐,ent.qq.com,8,8,7,3105,195,4213
中公教育网,offcn.com,22681,8,7,22978,196,4213
链家网,lianjia.com,2308,8,6,2186,197,4212
凤凰视频,v.ifeng.com,1308,8,6,3256,198,4212
携程酒店酒店预订,hotels.ctrip.com,4609,8,6,1044,199,4209
寻医问药,xywy.com,12529,8,6,27477,200,4209
QQ邮箱,mail.qq.com,8,8,7,62973,201,4206
沪江网,hujiang.com,1743,8,6,6820,202,4206
搜狐新闻,news.sohu.com,14,8,7,32257,203,4205
穷游网,qyer.com,1837,8,6,1875,204,4205
高考志愿填报参考系统,gkcx.eol.cn,9200,8,7,329,205,4205
51240便民查询网,51240.com,7200,8,4,1225,206,4205
中国经济网,ce.cn,13221,8,8,15495,207,4205
微信,weixin.qq.com,8,8,7,7390,208,4204
华为商城,vmall.com,1848,8,6,2481,209,4203
苏宁易购,suning.com,6140,8,7,97297,210,4203
电影天堂,dy2018.com,2673,8,5,356,121,4330
电影网,1905.com,8167,8,1,6484,122,4326
PC6下载站,pc6.com,3051,8,6,2775,123,4321
有道翻译,fanyi.youdao.com,329,8,6,968,124,4317
华军软件园,onlinedown.net,2884,8,7,7000,125,4313
8684公交网,8684.cn,13426,8,7,27215,126,4310
智联招聘,zhaopin.com,915,8,8,50488,127,4298
漫画台,manhuatai.com,14215,8,0,135,128,4297
大众点评网,dianping.com,758,8,3,8821,129,4296
欣欣旅游网,cncn.com,15407,8,6,42401,130,4296
天涯论坛,bbs.tianya.cn,103,8,6,2180,131,4295
直播吧,zhibo8.cc,2000,8,7,23187,132,4295
沪江英语,hjenglish.com,1588,8,6,4460,133,4291
虾米音乐网,xiami.com,1021,8,7,137587,134,4288
下载之家软件站,downza.cn,16267,8,5,744,135,4285
音悦台,yinyuetai.com,2368,8,7,3475,136,4284
安居客,anjuke.com,1542,8,6,84977,137,4284
3DMGAME,3dmgame.com,1875,8,6,952,138,4283
博客园,cnblogs.com,259,8,6,1832,139,4282
中国日报网,chinadaily.com.cn,227,8,8,12427,140,4280
学信网,chsi.com.cn,2126,8,8,21446,141,4279
土豆网,tudou.com,2464,8,8,44869,142,4276
东方财富行情中心,quote.eastmoney.com,5190,8,6,5897,143,4275
游侠网,ali213.net,3879,8,5,3955,144,4274
PPTV,pptv.com,2431,8,6,15894,145,4273
17173,17173.com,2129,8,7,16529,146,4272
去哪儿,qunar.com,5415,8,7,52216,147,4270
出国留学网,liuxue86.com,7211,7,6,937,148,4270
126网易免费邮,126.com,967,8,7,32176,149,4269
时光网发现频道,movie.mtime.com,2597,8,5,101,150,4268
红动素材导航,so.redocn.com,9403,8,2,47,301,4108
起名网,yw11.com,21285,8,3,148,302,4107
三九养生堂,39yst.com,37224,8,5,23822,303,4107
烟悦网,yanyue.cn,25497,8,0,123,304,4105
德邦官方网站,deppon.com,20590,8,6,1740,305,4105
太平洋软件下载中心,dl.pconline.com.cn,29253,9,7,4284,306,4105
中国安全教育网,safetree.com.cn,36193,8,6,409,307,4103
电影天堂,dytt8.net,1876,8,4,398,308,4101
摇篮网,yaolan.com,25804,8,7,3254,309,4101
闽南网,mnw.cn,15900,8,6,1663,310,4100
微软必应搜索,bing.com,42,7,8,9744,311,4094
微软官网,www.microsoft.com,37,7,8,11453,312,4093
当当网,dangdang.com,1677,7,7,36605,313,4093
凤凰娱乐,ent.ifeng.com,1308,8,7,2046,314,4093
卜易居 ,buyiju.com,29861,8,5,858,315,4093
IT学习网,t086.com,63672,8,0,1185,316,4093
昵图网,nipic.com,1919,7,5,3302,317,4091
博雅旅游网,bytravel.cn,24041,8,4,2141,322,4087
面包王,mianbao99.com,21723,7,0,1104,319,4089
腾讯动漫,ac.qq.com,8,8,7,195,320,4088
古诗文查询,so.gushiwen.org,7323,8,0,9,321,4088
今日头条,toutiao.com,1216,7,4,1818,318,4090
驱动之家,mydrivers.com,1262,7,7,4864,323,4086
凤凰财经,finance.ifeng.com,1308,8,7,5222,324,4086
站酷,zcool.com.cn,1259,7,6,2541,325,4085
携程旅游攻略,you.ctrip.com,4609,8,6,3246,326,4084
非常运势网,99166.com,38115,8,5,1226,327,4084
阿里巴巴生意经,baike.1688.com,144,8,6,79655,328,4083
观察者网,guancha.cn,1822,7,7,1435,329,4082
微信网页版,wx.qq.com,8,8,6,1727,330,4081
历趣,liqucn.com,8807,8,4,849,331,4080
回车桌面,enterdesk.com,46351,8,6,2082,332,4080
城市中国,ccoo.cn,50262,8,6,15021,333,4080
作文网,zuowen.com,70694,8,6,824,334,4080
莲山课件,5ykj.com,16098,8,5,100,335,4079
健客网,jianke.com,18063,8,4,2102,336,4078
5ND音乐网,5nd.com,37146,8,4,1412,337,4078
592招聘网,job592.com,12046,7,5,2310,338,4076
股城网,gucheng.com,27791,8,6,3157,339,4075
动漫屋,dm5.com,2306,7,5,2154,340,4074
天空下载,skycn.com,6441,8,6,11155,341,4074
高三网,gaosan.com,41171,8,0,409,342,4074
5068儿童网,5068.com,29662,8,6,1372,343,4074
MIUI官方网站,miui.com,1016,7,6,612,344,4073
焦点房地产网,focus.cn,2025,7,7,40690,345,4071
联合早报,zaobao.com,5262,7,7,7252,346,4068
中国共产党新闻网,cpc.people.com.cn,310,8,8,3338,347,4067
爱彩网,aicai.com,44851,8,6,3115,348,4065
hao123下载站,soft.hao123.com,55,8,5,1065,349,4064
剧情吧,juqingba.cn,28253,8,5,383,350,4062
MM131美女图片,mm131.com,37254,8,4,262,351,4061
我图网,ooopic.com,3386,7,5,2227,352,4060
周公解梦,zgjm.org,32090,8,5,366,353,4058
唯品会,vip.com,4548,7,3,24807,354,4057
网易体育,sports.163.com,644,8,8,27731,355,4056
人人网,renren.com,1633,7,8,56731,356,4055
太平洋游戏网,pcgames.com.cn,6885,7,7,6685,357,4054
家庭医生在线,familydoctor.com.cn,1020,8,7,6510,358,4054
女人说,nvsay.com,27545,8,3,533,359,4053
中国体彩网,lottery.gov.cn,35887,8,7,7733,360,4053
什么值得买,smzdm.com,13777,7,5,1944,421,4006
阿里巴巴商务搜索,s.1688.com,144,7,3,1423,422,4005
中国加盟网,jmw.com.cn,2078,7,4,3178,423,4005
宜家官网,ikea.com,287,7,7,485,424,4004
114啦,114la.com,2015,7,6,26421,425,4004
芒果TV,mgtv.com,6005,8,0,0,426,4004
我图网素材搜索,so.ooopic.com,3386,7,4,1434,427,4003
驾校一点通,jxedt.com,25269,7,6,7275,428,4002
亚马逊官方网站,www.amazon.com,11,7,8,18444,429,4001
吉屋网,jiwu.com,1900,7,4,6723,430,4000
易车网车型大全频道,car.bitauto.com,390,8,6,29822,431,3998
找法网,china.findlaw.cn,5033,7,6,2341,432,3998
27270图片大全,www.27270.com,50496,8,0,426,433,3998
文章阅读网,duwenzhang.com,68777,7,5,696,434,3997
彩票2元网,cp2y.com,91495,8,6,1255,435,3997
随便吧,388g.com,32889,8,3,53,436,3993
腾讯动漫频道,comic.qq.com,8,8,7,851,437,3992
淘车网,taoche.com,1394,7,6,34323,438,3992
CCTV节目官网,tv.cctv.com,8892,8,0,453,439,3992
天堂图片网,ivsky.com,30782,7,6,483,440,3992
猎聘网,liepin.com,2315,7,7,39702,441,3991
世界工厂网,gongchang.com,4511,7,5,21823,442,3991
LOFTER,lofter.com,11075,7,6,13374,443,3991
快吧游戏,kuai8.com,9650,7,3,1284,444,3991
天气网万年历,wannianli.tianqi.com,10918,8,5,180,445,3991
青岛新闻网,qingdaonews.com,692,7,7,4261,446,3990
美拍,meipai.com,6305,7,5,23640,447,3990
拉勾网,lagou.com,4410,7,5,1993,448,3989
国家税务总局,chinatax.gov.cn,15007,7,7,3270,449,3988
QQ空间,qzone.qq.com,8,7,7,29597,450,3987
三国杀官方网站,sanguosha.com,4287,7,5,1704,391,4030
Alibaba,alibaba.com,173,7,7,231731,392,4029
东方网体育,sports.eastday.com,222,7,6,224,393,4029
中华会计网校,chinaacc.com,8750,7,6,3652,394,4029
中国移动通信集团公司,www.10086.cn,8918,7,7,27492,395,4028
中国论文网,xzbu.com,10790,8,3,269,396,4028
证券之星,stockstar.com,579,7,6,28342,397,4025
凤凰网科技,tech.ifeng.com,1308,8,7,976,398,4025
蜂鸟网,fengniao.com,4826,7,7,5152,399,4023
华图教育官网,huatu.com,15482,7,7,6705,400,4023
土巴兔装修网,to8to.com,3233,7,5,14811,401,4022
韵达快递官方网站,yundaex.com,23053,8,6,1274,402,4022
南方网,southcn.com,3872,7,8,7042,403,4020
中国板报网,cnbanbao.cn,65520,8,5,276,404,4020
找法网,findlaw.cn,5033,7,6,3910,405,4018
世界之最网,souid.com,16722,8,2,81,406,4018
惠普官方网站,hp.com,375,7,8,2141,407,4017
西祠胡同,xici.net,8551,7,7,4021,408,4016
图吧公交网,bus.mapbar.com,11150,8,6,3540,409,4016
腾讯,tencent.com,1314,7,8,28107,410,4015
世纪佳缘,jiayuan.com,4425,7,6,29345,411,4015
菜鸟教程,runoob.com,1304,8,0,0,412,4014
必应,cn.bing.com,42,7,6,7286,413,4013
TechWeb,techweb.com.cn,3828,7,7,2243,414,4012
学习啦,xuexila.com,16556,7,6,1167,415,4012
NBA中国官方网站,china.nba.com,479,8,7,4107,416,4011
中华康网,cnkang.com,20066,8,5,408,417,4009
东方网新闻,news.eastday.com,222,7,7,245,418,4008
光明网,gmw.cn,176,7,8,16648,419,4008
OFweek,ofweek.com,7698,7,6,4194,420,4007
学科网,zxxk.com,6835,7,6,2694,451,3987
花瓣网,huaban.com,27744,7,6,5243,452,3987
爱拍原创,aipai.com,10369,7,6,9356,453,3987
笔趣阁,biquge.info,26204,8,0,10,454,3987
中国军网,81.cn,2493,7,6,804,455,3986
申通快递,sto.cn,26831,8,6,1793,456,3986
Adobe,www.adobe.com,82,7,9,48743,457,3984
中国联通网上营业厅,www.10010.com,3653,7,7,29543,458,3984
国美电器网上商城,gome.com.cn,709,7,6,30491,459,3983
07073游戏网,07073.com,3718,7,7,7203,460,3983
联想中国,lenovo.com.cn,4370,7,7,2259,465,3981
高考网,gaokao.com,22322,7,6,1394,462,3983
北京大学,pku.edu.cn,2708,7,5,4883,463,3982
色影无忌,xitek.com,3768,7,7,1646,464,3982
澳客彩票网,okooo.com,18918,7,6,1525,461,3983
国际在线,cri.cn,9148,7,7,26755,466,3981
艺龙旅行网,elong.com,9269,7,7,90834,467,3980
东方女性网,eastlady.cn,50249,8,5,224,468,3980
谷歌中国,google.com.hk,31,7,7,36104,469,3979
nike官网,nike.com,482,7,7,712,470,3978
招商银行官网,www.cmbchina.com,3530,7,8,37623,471,3977
36氪,36kr.com,1799,7,7,1464,472,3976
三星电子,samsung.com,404,7,8,2363,473,3975
熊猫TV,panda.tv,2251,8,0,0,474,3974
江苏网络电视台,jstv.com,3494,7,7,23193,475,3974
中青在线,cyol.com,2638,7,8,1619,476,3973
中华网新闻频道,news.china.com,21650,8,6,1562,477,3973
中国南方航空,csair.com,2362,7,7,892,478,3972
极速漫画,1kkk.com,9105,7,4,762,479,3972
壹心理,xinli001.com,21736,7,6,974,480,3972
交通银行官网,www.bankcomm.com,13581,7,7,34093,571,3932
126网易免费,mail.126.com,967,7,7,1812,572,3931
UC浏览器官方网站,uc.cn,3576,7,6,38355,573,3931
中国房产超市网,fccs.com,16172,7,4,6317,574,3931
太平洋家居网,pchouse.com.cn,25277,7,6,7370,575,3931
快科技新闻中心,news.mydrivers.com,1262,7,6,298,576,3929
中考网,zhongkao.com,31631,7,6,2778,577,3929
风行网,fun.tv,21526,7,0,2035,578,3929
手机中国,cnmo.com,12066,7,7,26834,579,3928
中国广播网,cnr.cn,14423,7,8,8939,580,3928
齐鲁网,iqilu.com,18407,7,7,4113,581,3928
成语大全,chengyu.t086.com,63672,8,0,243,582,3928
PP助手,25pp.com,8713,7,6,4606,583,3927
球探网,win007.com,5646,7,0,2153,584,3925
110法律咨询网,110.com,12114,7,5,2097,585,3925
八方资源网,b2b168.com,10305,7,5,14019,586,3923
牛摩网,newmotor.com.cn,15104,7,3,117,587,3922
畅游,changyou.com,26668,7,6,7128,588,3922
微博搜索,s.weibo.com,20,7,7,5698,589,3921
环球网,www.huanqiu.com,235,6,8,31917,590,3920
vivo官网,vivo.com.cn,12525,7,5,156,591,3920
超级大本营军事论坛,lt.cjdby.net,5769,7,6,118,592,3919
3D溜溜网,3d66.com,6385,7,5,284,593,3918
广西新闻网,gxnews.com.cn,23065,7,7,3381,594,3918
彩票2元网彩票走势图表,fx.cp2y.com,91495,8,4,140,595,3918
猫眼电影,maoyan.com,9782,7,5,1314,596,3917
糗事百科,qiushibaike.com,11309,7,6,2197,597,3917
973游戏网,973.com,14846,7,5,1120,598,3917
3DMGAME论坛,bbs.3dmgame.com,1875,7,5,145,599,3916
珍爱网,zhenai.com,20810,7,6,27316,600,3915
爱查快递,ickd.cn,56641,8,4,1499,481,3972
战旗TV,zhanqi.tv,777,7,0,201,482,3971
5173,5173.com,14805,7,6,2669,483,3971
可可英语,kekenet.com,8668,7,6,1248,484,3970
人人都是产品经理,woshipm.com,4779,7,4,327,485,3970
365地产家居,house365.com,4123,7,6,8492,486,3969
折800网,zhe800.com,13070,7,6,25016,487,3969
驾驶员考试网,jsyks.com,25967,7,5,1319,488,3969
 天天资源网 ,ttrar.com,36575,8,2,734,489,3969
领英,linkedin.com,34,7,9,84099,490,3968
饿了么,ele.me,12253,7,6,256,491,3968
飞卢小说网,b.faloo.com,37689,7,6,1596,492,3968
发型屋,faxingw.cn,112310,8,5,577,493,3968
